,actor_1_name,director_name
1659,Anjelica Huston,Andy Tennant
1660,Julia Roberts,Joel Schumacher
1661,Robert Duvall,Kevin Costner
1662,Robert Pine,Wes Craven
1663,Robert De Niro,Garry Marshall
1664,Ryan O'Neal,Richard Attenborough
1665,Dwayne Johnson,Michael Bay
1666,Sarah Carter,David R. Ellis
1667,Holly Hunter,Joel Coen
1668,Scarlett Johansson,Paul Weitz
1669,Dennis Quaid,Scott Stewart
1670,Michael Biehn,Jonathan Frakes
1671,Scott Glenn,Lawrence Kasdan
1672,Luke Bracey,Michael Hoffman
1673,Daniel Roebuck,Kevin Allen
1674,Angelina Jolie Pitt,Michael Cristofer
1675,Pam Ferris,James McTeigue
1676,Rip Torn,Donald Petrie
1677,Ryan Reynolds,Tarsem Singh
1678,Woody Allen,Woody Allen
1679,Benedict Cumberbatch,Bill Condon
1680,Harold Perrineau,Bob Rafelson
1681,Jason Flemyng,Oleg Stepchenko
1682,Jake Gyllenhaal,David O. Russell
1684,Paul Hogan,Alan Shapiro
1685,Archie Panjabi,Fernando Meirelles
1686,Toby Jones,Oliver Stone
1687,Christo Jivkov,Mel Gibson
1688,Robin Williams,Chris Columbus
1689,Tom Cruise,Barry Levinson
1690,Clint Eastwood,Clint Eastwood
1691,Bruce McGill,Tim Story
1692,Bill Cobbs,Mick Jackson
1693,Liam Neeson,Steven Spielberg
1694,Mary Lynn Rajskub,Charles Herman-Wurmfeld
1695,Sarah Michelle Gellar,Raja Gosnell
1696,Darcy Donavan,Adam McKay
1697,Katharine Isabelle,Ronny Yu
1698,Josh Hutcherson,Gabor Csupo
1699,Martin Short,John A. Davis
1700,Mike Vogel,Matt Reeves
1701,Channing Tatum,Lasse Hallström
1702,Kevin Nash,Michael Pressman
1703,Bailee Madison,Andy Fickman
1704,Kelly Macdonald,Ethan Coen
1705,Colin Firth,Sharon Maguire
1706,Lena Olin,Lasse Hallström
1707,Natalie Portman,Ivan Reitman
1708,J.K. Simmons,Baltasar Kormákur
1709,Blythe Danner,Scott Hicks
1710,Michael Biehn,George P. Cosmatos
1711,Jet Li,Andrzej Bartkowiak
1712,Chelan Simmons,James Wong
1713,Alicia Witt,Tyler Perry
1714,Johnny Depp,Marc Forster
1715,Liam Neeson,Joe Carnahan
1716,Robert De Niro,John Polson
1717,Emma Stone,Fred Wolf
1718,Daniel Roebuck,Harald Zwart
1719,Colin Firth,Kirk Jones
1720,Robert De Niro,Martin Scorsese
1721,Jeff Bridges,Phillip Noyce
1722,Al Pacino,Brian De Palma
1723,Kelly Preston,Steve Oedekerk
1724,Cary-Hiroyuki Tagawa,Bernardo Bertolucci
1725,Meryl Streep,Stephen Daldry
1726,Heather Locklear,Brett Ratner
1727,Jim Meskimen,Paul Thomas Anderson
1728,Alfre Woodard,Cathy Malkasian
1729,Elizabeth Daily,John Eng
1730,Mike Vogel,Ken Kwapis
1731,Dave Chappelle,Malcolm D. Lee
1732,Jet Li,Chris Nahon
1733,Jon Hamm,Craig Gillespie
1734,Alfre Woodard,Bille Woodruff
1735,Colin Firth,Dennie Gordon
1736,Nicki Aycox,Victor Salva
1737,Dane Cook,Mark Helfrich
1738,Jet Li,Andrzej Bartkowiak
1739,Channing Tatum,Andy Fickman
1740,Lily Atkinson,Steve Bendelack
1741,Alexis Arquette,Ronny Yu
1742,Robin Williams,Kirsten Sheridan
1743,Nicholas Gonzalez,Dwight H. Little
1744,Ari Graynor,David Gordon Green
1745,Fanny Ardant,Shekhar Kapur
1746,Joseph Cotten,Richard Fleischer
1747,Jennifer Garner,Ivan Reitman
1748,Morgan Freeman,Frank Darabont
1749,Damon Wayans Jr.,Damien Dante Wayans
1750,Jere Burns,Simon Wincer
1751,Bill Murray,Bobby Farrelly
1752,Connie Ray,Tim Fywell
1753,Bailee Madison,Troy Nixey
1754,Chris Evans,Sylvain White
1755,Johnny Depp,Jeremy Leven
1756,Aimee Garcia,Nigel Cole
1757,Denzel Washington,Spike Lee
1758,Anthony Hopkins,Lee Tamahori
1759,Justin Fletcher,
1760,Chris Zylka,David R. Ellis
1761,Adam Sandler,Paul Thomas Anderson
1762,Matt Damon,Jeff Schaffer
1763,Laura Ramsey,Carter Smith
1764,Michael Fassbender,Ridley Scott
1765,Tyler James Williams,Paul Feig
1766,Dianne Wiest,James Bridges
1767,Claudia Christian,Don Michael Paul
1768,Tom Hardy,Brian Helgeland
1769,Martin Landau,Steve Barron
1770,Stephen Dillane,Bill Paxton
1771,Frank Langella,Richard Kelly
1772,Mark Valley,John Schlesinger
1773,Frank Grillo,Wes Craven
1774,Frank Grillo,Wes Craven
1775,Chris Marquette,Luke Greenfield
1776,Natasha Henstridge,Ringo Lam
1777,Martin Starr,Bruce McCulloch
1778,Martin Starr,Bruce McCulloch
1779,Sissy Spacek,Akiva Schaffer
1780,Emily Watson,Alan Parker
1781,Dallas Barnett,Andrew Adamson
1782,Marco Treviño,Patricia Riggen
1783,Frank Finlay,Tobe Hooper
1784,Robin Wright,Robert Redford
1785,Elizabeth Daily,
1786,Heath Ledger,Catherine Hardwicke
1787,Victor Wong,John Carpenter
1788,Alan Rickman,Neil Jordan
1789,Joseph Gordon-Levitt,Kimberly Peirce
1790,Tom Berenger,Ron Maxwell
1791,Charlie Hunnam,Stephen Gaghan
1792,Alexander Skarsgård,Rod Lurie
1793,John Doe,Jonathan Kaplan
1794,Brendan Fraser,Richard Benjamin
1795,Brian Bosworth,Craig R. Baxley
1796,Viggo Mortensen,John Hillcoat
1797,Hope Davis,Lasse Hallström
1798,Tanya Roberts,John Guillermin
1799,Cheech Marin,Marcos Siega
1800,Eddie Cibrian,J.B. Rogers
1801,Anthony Hopkins,Roger Donaldson
1802,Naomi Watts,Rachel Talalay
1803,Donald Faison,Jeffrey W. Byrd
1804,Don McKellar,Fernando Meirelles
1805,Kate Winslet,Roman Polanski
1806,Meat Loaf,Uwe Boll
1807,Nicolas Cage,Werner Herzog
1808,Natalie Portman,Gavin O'Connor
1809,Zoe Kazan,Richard Linklater
1810,Colin Firth,Atom Egoyan
1811,Billy Burke,Robert Towne
1812,Kristen Stewart,Walter Salles
1813,Scout Taylor-Compton,Taylor Hackford
1814,Jason Flemyng,Jonathan English
1815,Martin Kove,Mario Van Peebles
1818,Leonard Nimoy,Leonard Nimoy
1819,Omar Epps,Wes Craven
1820,Will Ferrell,Todd Phillips
1821,Sylvester Stallone,Sylvester Stallone
1822,Romany Malco,Tim Story
1823,Bruce Willis,Jonathan Lynn
1824,Jeff Bridges,Terry Gilliam
1825,Muse Watson,Danny Cannon
1826,Minnie Driver,Bonnie Hunt
1827,Kevin Spacey,Grant Heslov
1828,Gerry Bednob,Kevin Smith
1829,Daniel Roebuck,George Gallo
1830,Angelina Jolie Pitt,James Mangold
1831,Morgan Freeman,Neil LaBute
1832,Adam Scott,Alexandre Aja
1833,Dwayne Johnson,George Tillman Jr.
1834,Topher Grace,Robert Luketic
1835,Josh Charles,Tim Hill
1836,Oliver Platt,Brian Robbins
1837,Olivia Munn,Douglas McGrath
1838,Willie Garson,Ron Shelton
1839,Paul Walker,Steve Boyum
1840,Donald Pleasence,Richard Williams
1841,Robert De Niro,Mary McGuckian
1842,Emma Stone,Ruben Fleischer
1843,Harrison Ford,Irvin Kershner
1844,Adam Sandler,Frank Coraci
1845,George Kennedy,David Zucker
1846,Will Smith,Michael Bay
1847,Daniel Roebuck,James Wong
1848,Ryan Gosling,George Clooney
1849,Vin Diesel,David Twohy
1850,Hugh Jackman,Tony Goldwyn
1851,Scarlett Johansson,Spike Jonze
1852,Paul Walker,John Dahl
1853,Channing Tatum,Steven Soderbergh
1854,Natalie Portman,Wayne Wang
1855,Romola Garai,Mira Nair
1856,Hugh Jackman,Dexter Fletcher
1857,Hugh Jackman,Dexter Fletcher
1858,Judith Barsi,Joseph Sargent
1859,Seymour Cassel,Michael Dinner
1860,Leonardo DiCaprio,Jerry Zaks
1861,Annabella Sciorra,Andy Cadiff
1862,Annabella Sciorra,Andy Cadiff
1863,Tasha Smith,Fred Durst
1864,Stephen Rea,Neil Jordan
1865,Vanessa Williams,Simon Wincer
1866,James Franco,Paul Haggis
1867,Alessandro Nivola,Anne Fontaine
1868,Tom Burke,Stephen Frears
1869,Joan Rivers,Mel Brooks
1870,Drew Powell,Mikael Håfström
1871,Cem Yilmaz,Russell Crowe
1872,Demi Moore,Jerry Zucker
1873,Sarah Silverman,Bobby Farrelly
1874,Judge Reinhold,John Pasquin
1875,Dwayne Johnson,Andy Fickman
1876,Dennis Quaid,John Lee Hancock
1877,Clint Eastwood,Clint Eastwood
1878,Roma Downey,Christopher Spencer
1879,Louis Lombardi,Luke Greenfield
1880,Manish Dayal,Lasse Hallström
1881,Candice Bergen,Richard Attenborough
1882,Sophia Myles,Len Wiseman
1883,Ken Howard,Irwin Winkler
1884,Zachary Gordon,David Bowers
1885,Dianne Wiest,Jessie Nelson
1886,Denis O'Hare,Mikael Håfström
1887,Matt Damon,Steven Soderbergh
1888,Jack Reynor,Ken Scott
1889,Scarlett Johansson,Ethan Coen
1890,Will Ferrell,Kevin Smith
1891,Anthony Hopkins,Richard Attenborough
1892,Carlos Ponce,Mike Bigelow
1893,Stephen Root,Callie Khouri
1894,Jason Statham,Gary Fleder
1895,Amanda Detmer,Dennis Dugan
1896,Mira Sorvino,Spike Lee
1897,Chris Noth,Daniel Sackheim
1898,Ed Skrein,Camille Delamarre
1899,Rosario Dawson,Harry Elfont
1900,Richard E. Grant,Uli Edel
1901,Naomi Watts,David O. Russell
1902,Christian Bale,Scott Cooper
1903,CCH Pounder,Fred Dekker
1904,Brendan Fraser,Hugh Wilson
1905,Michael Biehn,Brian Trenchard-Smith
1906,Rock Hudson,Blake Edwards
1907,Johnny Depp,Laurence Dunmore
1908,Colin Firth,Rowan Joffe
1909,Robert De Niro,John Curran
1910,Gary Lewis,Christian Carion
1911,Roy Scheider,William Friedkin
1912,Romain Duris,Laurent Tirard
1913,Tom Wilkinson,Tony Gilroy
1914,Jeff Bridges,Mark Pellington
1915,Ornella Muti,Woody Allen
1916,Jennifer Lawrence,David O. Russell
1917,Minnie Driver,Trey Parker
1918,Clint Eastwood,Clint Eastwood
1919,Paige Turco,Stuart Gillard
1920,Keanu Reeves,Brian Robbins
1921,Omari Hardwick,Tyler Perry
1922,Hunter Parrish,Richard LaGravenese
1923,Djimon Hounsou,Jeff Wadlow
1924,Benedict Cumberbatch,Tomas Alfredson
1925,Jason London,Katt Shea
1926,Madeline Carroll,Joshua Michael Stern
1927,Catherine O'Hara,Sam Mendes
1928,Jake Gyllenhaal,Brad Silberling
1929,Jennifer Lawrence,Jodie Foster
1930,Dolly Parton,Colin Higgins
1931,Ian Somerhalder,Jim Sonzero
1932,Harrison Ford,Steven Spielberg
1933,Macaulay Culkin,Chris Columbus
1934,Bob Balaban,Steven Spielberg
1935,Dean Stockwell,Tony Scott
1936,Mackenzie Foy,James Wan
1937,Angus T. Jones,Adam Shankman
1938,Anthony Hopkins,Jonathan Demme
1939,Tia Carrere,Penelope Spheeris
1940,Bam Margera,Jeff Tremaine
1941,Roy Scheider,Jeannot Szwarc
1942,Jamie Lee Curtis,Raja Gosnell
1943,Gary Cole,Ben Falcone
1944,Nia Long,Brian Levant
1945,Shailene Woodley,Alexander Payne
1946,Miranda Cosgrove,Richard Linklater
1947,Sarah Roemer,D.J. Caruso
1948,Sarah Roemer,D.J. Caruso
1949,Christopher Lambert,Paul W.S. Anderson
1950,Busy Philipps,Keenen Ivory Wayans
1951,Tim Blake Nelson,Andrew Davis
1952,John Amos,Tyler Perry
1953,Kelly Preston,Julie Anne Robinson
1954,Michael Jai White,Tyler Perry
1955,Quvenzhané Wallis,Steve McQueen
1956,Leonard Roberts,Charles Stone III
1957,Sam Claflin,Thea Sharrock
1958,Mila Kunis,Jon Lucas
1959,Mila Kunis,Jon Lucas
1960,Johnny Depp,Tim Burton
1961,David Oyelowo,Ava DuVernay
1962,Alyson Hannigan,Aaron Seltzer
1963,Roger Rees,Robin Budd
1964,Haley Joel Osment,Steve Trenbirth
1965,Nia Long,Mennan Yapo
1966,Barry Watson,Stephen Kay
1967,Kath Soucie,Jun Falkenstein
1968,Billy Crudup,Tom McCarthy
1969,Jay Hernandez,Boaz Yakin
1970,Jimmy Bennett,Jaume Collet-Serra
1971,David Carradine,Jason Friedberg
1972,Jay Hernandez,Neil LaBute
1973,Sarah Michelle Gellar,Takashi Shimizu
1974,Richard Lawson,Kevin Rodney Sullivan
1975,Keanu Reeves,Peter Hewitt
1976,Robin Williams,Barry Levinson
1977,Peter Firth,Kevin Reynolds
1978,Diedrich Bader,Jason Friedberg
1979,Robert Forster,Gary Nelson
1980,Violante Placido,Anton Corbijn
1981,Jon Seda,Gregory Nava
1982,Patton Oswalt,Todd Strauss-Schulson
1983,Kate Winslet,Michel Gondry
1984,Gunnar Hansen,John Luessenhop
1985,Brad Pitt,Alejandro G. Iñárritu
1986,Tina Fey,Shawn Levy
1987,Philip Seymour Hoffman,John Patrick Shanley
1988,Jeremy Shada,Trey Parker
1989,William McNamara,Jon Amiel
1990,Mike Vogel,Jim Field Smith
1991,James Franco,Gus Van Sant
1992,Clint Eastwood,Joshua Logan
1993,Tom Wilkinson,John Madden
1994,Isaiah Washington,Steve Beck
1995,Jay Laga'aia,Michael Spierig
1996,Jason Statham,Roger Donaldson
1997,Sela Ward,Nelson McCormick
1998,Samira Wiley,Henry Joost
1999,Drake Bell,Stephen Frears
2000,Jeff Bridges,Jessica Bendinger
2001,Johnny Lewis,Eric Valette
2002,Joe Mantegna,John Schlesinger
2003,Keanu Reeves,David Ayer
2004,Michael Smiley,Edgar Wright
2005,Quentin Tarantino,Robert Rodriguez
2006,Jamie Lee Curtis,Andy Fickman
2007,Kay Panabaker,Andrew Fleming
2008,Kevin Sussman,Anthony Bell
2009,Alex Pettyfer,Shana Feste
2010,Laura Ramsey,Renny Harlin
2011,Leighton Meester,Thomas Bezucha
2012,Alan Rickman,Simon Wincer
2013,Kurtwood Smith,Gus Van Sant
2014,Jimmy Bennett,Robert Rodriguez
2015,Viggo Mortensen,Ed Harris
2016,Julia Roberts,Billy Ray
2017,Adam Sandler,Mike Binder
2018,Dane Cook,Howard Deutch
2019,Hector Elizondo,Garry Marshall
2020,Mako,Steve Rash
2021,Matthew Broderick,Richard Donner
2022,Kristen Stewart,Sean Penn
2023,Oliver Platt,Mark Steven Johnson
2024,Kath Soucie,Frank Nissen
2025,Jon Heder,Todd Phillips
2026,Radha Mitchell,Michael J. Bassett
2027,Robert Downey Jr.,Jodie Foster
2028,Shengyi Huang,Stephen Chow
2029,Haley Joel Osment,Peter Hastings
2030,Naomi Watts,Alejandro G. Iñárritu
2031,Andrew Fiscella,Nimród Antal
2032,Mustafa Haidari,Marc Forster
2033,Cole Hauser,Paul Abascal
2034,Thomas Lennon,Chris Koch
2035,Martin Landau,George Stevens
2036,Andy Dick,Amy Heckerling
2037,Ronald Reagan,Michael Moore
2038,Joseph Gilgun,James Mather
2039,Carmen Electra,Jason Friedberg
2040,Chris Evans,Mark Mylod
2041,Bill Murray,Jon Amiel
2042,Jason Statham,Mark Neveldine
2043,Bradley Cooper,John Wells
2044,Amy Poehler,Barry Levinson
2045,James Callis,Michael O. Sajbel
2046,Jim Broadbent,Woody Allen
2047,Aasif Mandvi,David Koepp
2048,Brendan Fraser,Phillip Noyce
2049,Kate Winslet,John Hillcoat
2050,Nicolas Cage,Gore Verbinski
2051,Fisher Stevens,Walter Hill
2052,Taylor Cole,Renny Harlin
2053,Chloë Grace Moretz,Matt Reeves
2054,Victor Wong,Charles T. Kanganis
2055,Quinton Aaron,Michel Gondry
2056,Bob Hoskins,Stephen Frears
2057,Woody Allen,Woody Allen
2058,Matthew Perry,Damon Santostefano
2059,Robert De Niro,Neil Jordan
2060,Natasha Lyonne,Woody Allen
2061,Aisha Tyler,James Wan
2062,Robert De Niro,Kirk Jones
2063,Scott Baio,Bob Clark
2064,Chris Brown,Benson Lee
2065,Miguel Ferrer,Les Mayfield
2066,Callum Rennie,Les Mayfield
2067,Martin Dew,Paul Thomas Anderson
2068,Debbie Reynolds,Michael Lembeck
2069,Alexa PenaVega,Robert Rodriguez
2070,Sammy Davis Jr.,Bob Fosse
2071,Jimmy Fallon,Dave Borthwick
2072,Chriss Anglin,David Zucker
2073,Laura Harring,Glen Morgan
2074,Kevin Alejandro,Fred Wolf
2075,Tom Wilkinson,Alejandro Monteverde
2076,Jim Broadbent,Mike Leigh
2077,Gerard Butler,Michael Apted
2078,David Oyelowo,J.C. Chandor
2079,Michael Fassbender,David Cronenberg
2080,Robert Downey Jr.,Richard Linklater
2081,Scott Porter,Todd Graff
2082,Catherine Lough Haggquist,Uwe Boll
2083,Cameron Bright,Jonathan Glazer
2084,Landon Liboiron,Paul Gross
2085,Dylan Authors,Marc Abraham
2086,Christian Bale,Todd Haynes
2087,Henry Cavill,Mabrouk El Mechri
2088,Zachary Gordon,Rian Johnson
2089,Philip Seymour Hoffman,Charlie Kaufman
2090,Isabelle Adjani,Jean-Paul Rappeneau
2091,Steve Guttenberg,Nancy Walker
2092,Ray Winstone,John Hillcoat
2093,Damon Wayans,Richard Benjamin
2094,Christian Bale,Kurt Wimmer
2095,Marco St. John,Kevin Munroe
2096,Chazz Palminteri,Matthew Diamond
2097,Radha Mitchell,Roger Spottiswoode
2098,Charlize Theron,James Gray
2099,Ryan Gosling,Andrew Jarecki
2100,Brad Pitt,Angelina Jolie Pitt
2101,William Hootkins,Katsuhiro Ôtomo
2102,Gerard Butler,David Anspaugh
2103,Esai Morales,Kevin Reynolds
2104,Djimon Hounsou,Julie Taymor
2105,Jiao Xu,Stephen Chow
2106,Christian Clavier,Jean-Marie Poiré
2107,Al Pacino,Daniel Algrant
2108,Emma Watson,Alejandro Amenábar
2109,Leonard Nimoy,Wayne Thornley
2110,Andy Lau,Daniel Lee
2111,Necar Zadegan,Jane Clark
2112,Milla Jovovich,James McTeigue
2116,Moritz Bleibtreu,Uli Edel
2117,Toby Jones,John Curran
2118,Nicolas Cage,Scott Walker
2119,Mem Ferda,Lee Tamahori
2120,Lea Thompson,Robert Zemeckis
2121,Mary McDonnell,Kevin Costner
2122,Justin Timberlake,Jake Kasdan
2123,Al Pacino,Harold Becker
2124,Taran Killam,Shawn Levy
2125,Eric Mendenhall,Tyler Perry
2126,Dan Byrd,Mark Rosman
2127,Scatman Crothers,Stanley Kubrick
2128,Shannon Elizabeth,Steve Beck
2129,Jeffrey Combs,William Malone
2130,Radha Mitchell,Breck Eisner
2131,Adam Scott,Anand Tucker
2132,Emily Watson,Brian Percival
2133,Nicole 'Snooki' Polizzi,
2134,Mara Wilson,Britt Allcroft
2135,Andy Lau,Alan Yuen
2136,Topher Grace,Michael Dowse
2137,Holly Hunter,Daniel Barnz
2138,James Mason,Anthony Mann
2139,Darci Kistler,Emile Ardolino
2140,Steve Buscemi,Robert Altman
2142,Tony Nappo,George A. Romero
2143,Jimmy Bennett,Andrew Douglas
2144,Nicolas Cage,Spike Jonze
2145,Jennifer Garner,Ricky Gervais
2146,Johnny Depp,Terry Gilliam
2147,Craig Roberts,Nicholas Stoller
2148,Peter Greene,Chuck Russell
2149,Tom Hanks,Penny Marshall
2150,Linda Cardellini,Robert Luketic
2151,Tina Fey,Mark Waters
2152,Leonard Nimoy,Leonard Nimoy
2153,Tom Wilkinson,Scott Derrickson
2154,Amy Poehler,Mike Mitchell
2155,Harry Lennix,Kevin Rodney Sullivan
2156,Craig T. Nelson,Thomas Bezucha
2157,Bernie Mac,Terry Zwigoff
2158,Nia Vardalos,Kirk Jones
2159,Will Ferrell,Jay Roach
2160,Zachary Gordon,David Bowers
2161,Jeffrey Jones,Milos Forman
2162,Ming-Na Wen,Nelson McCormick
2163,Dennis Quaid,Sean McNamara
2164,Raoul Bova,Audrey Wells
2165,Emma Stone,Alejandro G. Iñárritu
2166,Nicolas Cage,Francis Ford Coppola
2167,Kristin Scott Thomas,Robert Altman
2168,Sally Hawkins,Woody Allen
2169,Christian Clemenson,Paul Greengrass
2170,Christian Monzon,Bille Woodruff
2171,Hulk Hogan,Rick Friedberg
2172,Mako,Richard Fleischer
2173,Olivia Wilde,Jessie Nelson
2174,Bob Newhart,Mike Nichols
2175,Collette Wolfe,Jody Hill
2176,Robert De Niro,Martin Scorsese
2177,Judy Greer,Brandon Camp
2178,Kelsey Grammer,Kevin Tancharoen
2179,Nicholas Rowe,Barry Levinson
2180,James Franco,Danny Boyle
2181,Woody Allen,Woody Allen
2182,Amanda Schull,Nicholas Hytner
2183,Kristen Stewart,Bart Freundlich
2184,Ian Somerhalder,Irwin Winkler
2185,Steve Buscemi,Miguel Arteta
2186,Yaya DaCosta,Rob Reiner
2187,Alan Ruck,Chris Columbus
2188,Nancy Allen,Brian De Palma
2189,Daniel Radcliffe,John Boorman
2190,Jason Robards,William A. Fraker
2191,J.K. Simmons,Jason Reitman
2192,Rebecca Budig,Courtney Solomon
2193,Joan Allen,Ang Lee
2194,Miriam Margolyes,István Szabó
2195,Craig T. Nelson,Jeff Kanew
2196,Ricardo Darín,Fabián Bielinsky
2197,David Masterson,Michael Hoffman
2198,Ian McDiarmid,Matthew Robbins
2199,Johnny Depp,Tim Burton
2200,Tom Hardy,Guy Ritchie
2201,Barry Bostwick,Hal Needham
2202,Bruce Greenwood,Bruce Beresford
2203,Jeremy Irvine,Jonathan Teplitzky
